rank,studentPopulation,medianBaseSalary,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
371,19680,98200,20,19680,15885,10949693,85,65
372,2419,107000,9,2419,1877,6763969,100,100
373,4763,102300,15,4763,4241,17264768,100,100
374,3447,112600,12,3447,2835,18670776,100,100
375,33900,93500,14,33900,24230,37662116,92,87
376,5960,112600,12,5960,3452,27153400,99,98
377,8065,111300,16,8065,7894,2335782,94,90
378,3920,114900,13,3920,2935,20304637,99,99
379,1789,104700,12,1789,1789,14549179,100,100
380,18894,97000,16,18894,12938,7795826,92,84
381,1740,135100,11,1740,1740,3033217,94,85
382,34290,98200,22,34290,29070,50835986,95,94
382,2315,111100,15,2315,1859,12439608,100,100
384,3363,101900,12,3363,2773,18134490,95,95
385,42292,98000,22,42292,37202,41859704,80,70
386,3418,108400,13,3418,1789,19604345,100,99
387,7562,102500,9,7562,1844,13607345,100,99
388,1003,126400,9,1003,1003,6846834,100,100
389,1480,101600,11,1480,1480,13772132,100,100
390,2063,120000,11,2063,2063,14106191,100,100
391,36089,97700,27,36089,31261,26322685,87,76
392,3498,116700,13,3498,3371,23367694,97,97
393,20367,90600,17,20367,17001,8012824,72,52
394,6331,99200,17,6331,5948,4611285,85,78
395,19733,86000,19,19733,12463,10535194,95,90
396,9692,105200,15,9692,7328,17740308,96,96
397,17114,89700,22,17114,15446,13750710,78,78
398,1890,126800,14,1890,1786,4015136,95,72
399,22230,102700,19,22230,18047,23004903,93,88
399,11047,103800,15,11047,7430,36944090,99,97
401,2618,115500,11,2618,2563,17493995,100,100
402,6418,113200,9,6418,4935,13942148,81,74
403,1843,112100,9,1843,1843,19241661,100,100
404,3538,103400,11,3538,2349,11168419,100,100
405,747,106300,6,747,722,1583167,99,99
406,31679,102300,16,31679,23910,23005829,95,88
407,1643,111300,11,1643,1643,12542608,100,100
408,2656,111900,12,2656,1877,11748152,97,97
409,5574,99400,11,5574,3062,10507949,100,100
410,14090,103000,20,14090,13137,12733290,88,81
411,8088,113200,11,8088,4116,22440522,99,99
412,6618,107700,12,6618,4775,23995978,99,99
413,29556,102200,21,29556,24745,24404586,88,82
414,6349,114800,12,6349,4433,25538433,99,97
415,5372,100100,15,5372,3502,10448586,94,91
416,5198,94000,13,5198,2493,230703,93,88
417,4155,114900,15,4155,3331,15825557,100,100
418,1980,95400,10,1980,1539,7887065,78,78
419,3788,113000,13,3788,2685,13597241,100,99
420,2348,113200,13,2348,2345,22342779,95,95
421,8836,97500,10,8836,6473,10852396,99,97
422,5058,97200,14,5058,4969,4688364,75,60
423,2484,108000,13,2484,2453,11049088,100,99
424,41681,87300,21,41681,35593,43773269,95,92
425,26993,91200,16,26993,23127,26398314,90,79
426,25247,89700,14,25247,17636,37014896,90,76
426,18756,104300,17,18756,16214,18153533,92,91
428,7612,97400,14,7612,4941,15288563,100,100
429,425,106100,5,425,425,1853786,98,98
430,44088,103900,22,44088,39961,35433870,92,89
431,31962,93100,19,31962,25249,20015077,81,64
432,25420,104700,19,25420,18683,15803429,96,96
433,935,125000,17,935,935,8384028,98,98
434,2611,104400,11,2611,2591,21620676,100,100
435,7082,116300,13,7082,4116,15249334,98,96
436,1500,120300,12,1500,1500,17907760,100,100
437,12768,107300,23,12768,11268,22656637,99,98
438,4324,109600,14,4324,3615,21949918,98,98
439,4792,112200,13,4792,3677,22375705,100,100
440,15464,105100,20,15464,14247,17331207,89,89
441,1707,77300,9,1707,1707,20620440,100,100
442,13046,103000,14,13046,10321,6927477,89,77
443,11925,95700,18,11925,10727,12426745,91,80
444,7657,92200,16,7657,6923,6897909,85,69
445,1685,,9,1685,1619,6921210,98,97
446,23141,97200,19,23141,22283,19065017,93,93
447,5456,121600,16,5456,5290,14967728,100,100
448,2649,108300,14,2649,2084,15284025,100,100
449,2749,87800,14,2749,2066,6085158,100,100
450,3583,109800,16,3583,3583,2083561,79,71
451,9403,106700,21,9403,8325,4078729,91,82
452,599,120300,7,599,500,2247971,98,93
453,2690,104700,10,2690,2355,12432628,100,100
454,1166,91500,11,1166,1081,10138800,100,100
455,12276,93100,15,12276,9126,5109281,92,80
456,2742,107100,9,2742,1490,11492019,100,100
457,20829,100700,20,20829,15867,284531,69,67
458,16064,103500,16,16064,12979,24554327,99,98
459,30841,99000,15,30841,20110,27353974,98,97
460,1611,109900,9,1611,1587,3144536,96,95
461,1878,103900,11,1878,1637,10475019,100,100
462,1592,94100,10,1592,1206,728000,93,92
463,1807,107800,11,1807,1807,18751218,100,99
464,6058,103100,13,6058,3755,20666643,100,100
465,10413,,10,10413,3616,,,
466,7907,96200,16,7907,7334,8834537,87,68
467,1728,121800,10,1728,1483,10584525,82,81
468,4597,110400,13,4597,2219,16676249,100,100
469,6947,107100,18,6947,1603,8190224,100,100
470,2055,98700,12,2055,1888,7077563,100,100
